X,Y,OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID
-9823608.04693295,4883273.58362033,11533,Streetname - Sesquicentennial,"6"" X 30""", ,Punched Telespar, ,Streetname,,D3-1,Champaign,12657,,AERIAL,K,N400 State St,8572,,{7A3A59AE-AB0E-4241-9E13-2C7CE6C12638}
-9823577.61405196,4882995.09147253,11534,Streetname - Honorary,"8"" X 36""", ,Punched Telespar,2014,Streetname,,N/A,Champaign,12660,,AERIAL,K,Roger Ebert Blvd,8679,,{038E8758-460D-41A6-B552-582BE3770A0D}
-9823526.70713937,4882568.56797429,11535,Streetname,"6"" X 30""", ,Punched Telespar, ,Streetname, ,D3-1,Champaign,12661,,AERIAL,K,Cottage Ct,8680,,{BD579DB5-BE9A-445E-B5E1-65BA40C7F220}
-9823576.25145734,4882584.78727447,11536,Streetname,"8"" X 36""", ,Punched Telespar, ,Streetname, ,D3-1,Champaign,12662,,AERIAL,K,W White St,8496,,{84989996-1896-48FE-BC44-672ED8F43B60}
-9823576.85739358,4882725.35537835,11537,Streetname - Downtown,"8"" X 36""", ,Punched Telespar, ,Streetname,,N/A,Champaign,12663,,AERIAL,K,100 S State St,8576,,{187866EA-2257-4F73-8427-246965D00B41}
-9824805.79650642,4882844.70733232,11538,Streetname,"24"" X 48""", ,Traffic Signal Standard, ,Streetname, ,D3-1,Champaign,12664,,AERIAL,B,Prospect Ave,8617,,{0A7A5E10-F49D-4932-82E5-87569CAD40C4}
-9824415.61512178,4882837.19424471,11539,Streetname,"8"" X 36""", ,Punched Telespar, ,Streetname, ,D3-1,Champaign,12665,,AERIAL,A,S New St,8578,,{3E32519F-354F-4B1F-8237-3D365257E4C2}
-9824135.71362911,4882836.75648471,11540,Streetname,"8"" X 36""", ,Punched Telespar,2015,Streetname, ,D3-1,Champaign,12666,,AERIAL,A,S Lynn St,8514,,{7FA7A9B0-03D2-4142-9DCD-714464A07D18}
-9823949.87771395,4882843.96386775,11541,Streetname - Honorary,"6"" X 30""/ 6"" X 30""", ,Streetlight, ,Streetname, ,N/A,Champaign,12667,,AERIAL,A,Mable Thomas St,8681,,{079C4FDA-FC83-4A99-8DED-21CF7BC06215}
-9823772.8995755,4882865.10796358,11542,Streetname - Honorary,"8"" X 36""", ,Streetlight, ,Streetname, ,N/A,Champaign,12668,,AERIAL,A,Mable Thomas St,8580,,{842B7C2F-1694-4EEC-A58F-D74A56073CCD}
-9823966.15504726,4882872.23471628,11543,Streetname,"8"" X 36""", ,Punched Telespar, ,Streetname, ,D3-1,Champaign,12669,,AERIAL,A,N Elm St,8581,,{67F6D976-F15A-4C07-94B6-614FD112728D}
-9824150.64654602,4882874.07966608,11544,Streetname,"8"" X 36""", ,Punched Telespar,2015,Streetname, ,D3-1,Champaign,12670,,AERIAL,A,N Lynn St,8582,,{6F5F2BF2-FEF9-4793-BF91-ED8A586A25E2}
-9824429.82512446,4882875.40416923,11545,Streetname,"8"" X 36""", ,Punched Telespar, ,Streetname, ,D3-1,Champaign,12671,,AERIAL,A,N New St,8583,,{9D677E8A-7E53-4573-949F-628E4DA53AC4}
-9824808.01164316,4882871.36273886,11546,Streetname,"18"" X 60""", ,Traffic Signal Mast Arm, ,Streetname, ,D3-1,Champaign,12672,,AERIAL,B,W. University Ave,8682,,{76BB04D2-1790-4678-813D-4682F4810C0A}
-9824808.01164316,4882871.36273886,11547,Streetname,"30"" X 18""",100 North,Traffic Signal Mast Arm, ,Streetname,,D3-1,Champaign,12673,,AERIAL,B,100 North,8682,,{3E3DB805-8CD5-489B-A5FC-790C2C8DC385}
